=== ALL Apply Link Domains (6329 jobs) ===

Domain                                                  | Count | Sample Employer
jobserve.com                                            |    58 | LifeStance Health | https://www.jobserve.com/us/en/extjob/PMHNP-NURSE-PRACTITIONER-CHICAGO-IL-in-Chi
jobs.stevenagefc.com                                    |    56 | International SOS Government Medical Services | https://jobs.stevenagefc.com/jobs/advanced-practice-psychiatric-provider-san-ant
us.trabajo.org                                          |    53 | UMass Med School | https://us.trabajo.org/job-982-951c167363dcf8daf6ece4a8dcd11b41?utm_campaign=goo
practicematch.com                                       |    51 | LifeStance Health | https://www.practicematch.com/advanced-practitioners/job-details.cfm/846210/psyc
fcspsy.com                                              |    45 | FCS, Inc. | https://www.fcspsy.com/job/wa959/?utm_campaign=google_jobs_apply&utm_source=goog
us.sercanto.com                                         |    43 | Lifestance Health | https://us.sercanto.com/detail/a/flexible-pmhnp-high-earning-psychiatry-nurse-pr
jobleads.com                                            |    42 | Community Bridges | https://www.jobleads.com/us/job/psych-nurse-practitioner-non-crisis-phoenix-mesa
jobzmall.com                                            |    30 | Massachusetts General Hospital | https://www.jobzmall.com/massachusetts-general-hospital/job/nurse-practitioner-n
jobs.ksnt.com                                           |    29 | PGS NH Care | https://jobs.ksnt.com/jobs/travel-psychiatric-nurse-practitioner-pittsburgh-penn
doximity.com                                            |    28 | LifeStance Health | https://www.doximity.com/careers/job_cards/b6d91059-576b-4f40-83a2-422db0e5b01e?
jobs.kget.com                                           |    27 | LocumJobsOnline | https://jobs.kget.com/jobs/locum-nurse-practitioner-psychiatry-general-other-sai
physicianjob.com                                        |    26 | TeamHealth Corporate | https://www.physicianjob.com/1435179/behavioral-health/nurse-practitioner-behavi
mdsearch.com                                            |    24 | Atlantic MEDsearch | https://www.mdsearch.com/home/job-detail/nurse-practitioner/kentucky/14224995?ut
physemp.com                                             |    24 | Team Health | https://www.physemp.com/nurse-allied/jobs/2196066?utm_campaign=google_jobs_apply
nchcr.com                                               |    23 | National Coalition Of Healthcare Recruiters | https://www.nchcr.com/healthcare-job-opportunity-details?JobID=2279659&utm_campa
jacobscenter.org                                        |    19 | Headway | https://www.jacobscenter.org/apply/job/licensed-psychiatric-np-at-headway-bismar
ihireadvancedpractitioners.com                          |    17 | New Directions Mental Health, New Directions Mental Health | https://www.ihireadvancedpractitioners.com/jobs/view/507334806?utm_campaign=goog
providermatching.com                                    |    17 | CoHear/BCS | https://www.providermatching.com/tools/exchange/job/pmhnp-job-opportunity-in-bel
enpnetwork.com                                          |    16 | Family Health Center of Worcester | https://www.enpnetwork.com/nurse-practitioner-jobs/840410-nurse-practitioner-wor
intelycare.com                                          |    15 | University of Michigan Health-West | https://www.intelycare.com/jobs/169104898-psychiatry-advanced-practice-provider-
trabajos.univision.com                                  |    13 | Mastersofpediatrics | https://trabajos.univision.com/empleo/23-14660_863038585324B488711C3698A3204F20?
jobs.ka-recruiting.com                                  |    13 | K.A. Recruiting | https://jobs.ka-recruiting.com/Inpatient-Psychiatric-Mental-Health-Nurse-Practit
hospitalrecruiting.com                                  |    13 | Archway Physician Recruitment | https://www.hospitalrecruiting.com/job/828376/pmhnp-opening-in-frederick-md/?utm
ihirementalhealth.com                                   |    12 | Valleywise Health System | https://www.ihirementalhealth.com/jobs/view/504692692?utm_campaign=google_jobs_a
apply.usastaffing.gov                                   |    11 | Veterans Health Administration | https://apply.usastaffing.gov/Application/Apply
jobs.womenforhire.com                                   |    11 | Rula Health | https://jobs.womenforhire.com/job/usa/pinson-al/psychiatric-mental-health-nurse-
talentify.io                                            |    10 | Supportive Care | https://www.talentify.io/job/psychiatric-nurse-practitioner-manchester-vermont-u
teamhealth.com                                          |    10 | TeamHealth | https://www.teamhealth.com/jobs/57053br-nurse-practitioner-behavioral-health-tyl
jobs.kxnet.com                                          |    10 | GO Staffing | https://jobs.kxnet.com/jobs/permanent-pmhnp-opening-in-outpatient-psychiatry-por
bandana.com                                             |    10 | State of Wyoming | https://bandana.com/jobs/a60e44b6-da37-4d82-a834-1e8a47431f92?utm_campaign=googl
zippia.com                                              |     9 | Universal Health Services | https://www.zippia.com/job-listing/shippensburg-pa/psychiatric-nurse-practitione
pmhnphiring.com                                         |     9 | Serenity Healthcare, LLC | https://pmhnphiring.com/jobs/pmhnp-tms-ketamine-therapy-specialist-las-colinas-1
jobs.uhsinc.com                                         |     9 | Summit Oaks Hospital | https://jobs.uhsinc.com/summit-oaks-hospital/jobs/6652?lang=en-us&utm_campaign=g
governmentjobs.com                                      |     9 | State of Iowa | https://www.governmentjobs.com/careers/iowa/jobs/5216664/psychiatric-nurse-pract
keithabrownconsulting.com                               |     9 | K.A. Recruiting, Inc. | https://keithabrownconsulting.com/joblib/job/psychiatric-nppa-at-ka-recruiting-i
candidate.nphire.com                                    |     8 | LocumTenens.com | https://candidate.nphire.com/jobs/67a5195d343df87687384e75/698bac5ec48a6c558655d
psychiatryrecruitment.org                               |     8 | Monroe & Weisbrod | https://psychiatryrecruitment.org/jobs/new-york/locum-outpatient-c-a-or-adult-te
jobs.inline.group                                       |     8 | Springfield Health Center | https://jobs.inline.group/northstarhealth/jobs/Nurse-Practitioner-NP-job-in-Spri
damienfoster.com.au                                     |     7 | Headway | https://damienfoster.com.au/list/job/remote-licensed-psychiatric-nurse-practitio
salutemyjob.com                                         |     7 | Columbia Mental Health, Columbia Mental Health | https://salutemyjob.com/jobs/advanced-practice-provider-in-behavioral-health-np-
brooklynhealthpt.com                                    |     7 | MindBodyPinnacle Health LLC | https://brooklynhealthpt.com/work/job/psychiatric-mental-health-nurse-practition
clearholistictherapies.com                              |     7 | Korzen Health | https://clearholistictherapies.com/career/job/pmhnp-psychiatric-nurse-practition
alamedaseniormagazine.com                               |     7 | RWJBarnabas Health | https://alamedaseniormagazine.com/samples/job/pd-psych-nurse-practitioner-ryan-w
jobtarget.com                                           |     7 | Recovery Monitoring Solutions Corporation | https://www.jobtarget.com/jobs/jt-35erf9s1yv/nurse-practitioner-psych-focus-engl
firenzelodging.it                                       |     6 | Seasoned Recruitment | https://firenzelodging.it/samples/job/remote-psychiatric-mental-health-nurse-pra
careerboard.com                                         |     6 | LifeStance Health | https://www.careerboard.com/search-jobs-in-Boston,-Massachusetts,-USA/NURSE-PRAC
anirak.com                                              |     6 | Seasoned Recruitment | http://anirak.com/samples/job/psychiatric-mental-health-nurse-practitioner-remot
aecliving.com                                           |     6 | Metta Psychiatry | https://aecliving.com/jobs/job/psychiatric-nurse-practitioner-hybrid-pmhnp-at-me
digiteck3d.com                                          |     6 | BlueSky Telepsych | http://digiteck3d.com/job-library/job/psychiatric-mental-health-nurse-practition
alcarazautomotores.com.ar                               |     6 | LifeStance Health | https://alcarazautomotores.com.ar/list/job/psychiatric-nurse-practitioner-pmhnp-
dailyremote.com                                         |     6 | Renew Mental Health | https://dailyremote.com/remote-job/remote-pmhnp-4470877?utm_campaign=google_jobs
serenityhomes.com                                       |     6 | LifeStance Health | https://serenityhomes.com/library/job/psychiatric-nurse-practitioner-pmhnp-job-a
remotive.com                                            |     6 | Brightways Counseling Group | https://remotive.com/remote/jobs/medical/psychiatric-mental-health-nurse-practit
jobs.bswhealth.com                                      |     6 | Baylor Scott & White Health | https://jobs.bswhealth.com/us/en/job/BSWHUS25020300EXTERNALENUS/Nurse-Practition
chauhanmedicity.com                                     |     5 | Korzen Health | https://chauhanmedicity.com/library/job/pmhnp-psychiatric-mental-health-nurse-pr
jobs.khon2.com                                          |     5 | Seasoned Recruitment | https://jobs.khon2.com/jobs/remote-pmhnp-flexible-schedule-clinical-independence
careers.upstate.edu                                     |     5 | SUNY Upstate Medical University | https://careers.upstate.edu/jobs/np-adult-psychiatric-inpatient-consult-ed-syrac
gutmicrobiomenews.com                                   |     5 | Cambridge Medical Professionals | http://gutmicrobiomenews.com/library/job/psychiatric-nurse-practitioner-mental-h
simplify.jobs                                           |     5 | Virtua Health | https://simplify.jobs/p/12ea580e-86f5-4c64-80c2-2462b9e1bf75/Psychiatric-Mental-
weequahicalumni.org                                     |     5 | Serenity Healthcare | https://weequahicalumni.org/library/job/interventional-pmhnp-at-serenity-healthc
clinicavanthienen.com                                   |     5 | MASC Medical | https://clinicavanthienen.com/wp-job/job/pmhnp-dollar-160k-plus-dollar-10k-sign-
porta23.com                                             |     5 | Headway | https://porta23.com/job-listing/job/licensed-psychiatric-nurse-practitioner-at-h
georgiapappis.com                                       |     5 | Mindful Health Solutions | https://georgiapappis.com/job-library/job/psychiatric-mental-health-nurse-practi
practiceseeker.com                                      |     4 | confidential | https://practiceseeker.com/jobs/nurse-practitioner/psychiatry/14789/psych-np-in-
brackenridgeconstruction.com                            |     4 | Seasoned Recruitment | https://brackenridgeconstruction.com/opportunity/job/remote-psychiatric-mental-h
charliehealth.com                                       |     4 | Charliehealth | https://www.charliehealth.com/careers/current-openings?gh_jid=5611419004
healthecareers.com                                      |     4 | LocumTenens.com | https://www.healthecareers.com/job/child-adolescent-psychiatric-nurse-practition
medsourceconsultants.com                                |     4 | Medsource | https://medsourceconsultants.com/job/4056/?utm_campaign=google_jobs_apply&utm_so
virtualvocations.com                                    |     4 | Seasoned Recruitment | https://www.virtualvocations.com/job/florida-licensed-pmhnp-2903755-i.html?utm_c
allproasset.com                                         |     4 | Seasoned Recruitment | https://allproasset.com/work/job/pmhnp-psychiatric-mental-health-practitioner-at
careers.apha.org                                        |     4 | Penn State Health | https://careers.apha.org/jobs/22000650/nurse-practitioner-outpatient-adult-psych
petersonresearch.com.au                                 |     4 | Headway | http://petersonresearch.com.au/wp-job/job/psychiatric-nurse-practitioner-at-head
careers.mhanational.org                                 |     4 | LifeStance Health | https://careers.mhanational.org/jobs/21991092/outpatient-psychiatric-mental-heal
lms1995.com                                             |     4 | Headway | https://lms1995.com/joblib/job/licensed-psychiatric-np-at-headway-florence-ky-aG
palomaontario.com                                       |     4 | TeamHealth | https://palomaontario.com/job-library/job/psychiatric-nurse-practitioner-14400br
doctorschoiceplacement.com                              |     4 | Doctor's Choice Placement | https://doctorschoiceplacement.com/job/nurse-practitioner-psychiatry-opportunity
jobs.kdvr.com                                           |     4 | Headway | https://jobs.kdvr.com/jobs/remote-licensed-psychiatric-nurse-practitioner-bismar
barbarosbarberia.cl                                     |     4 | Headway | https://barbarosbarberia.cl/gig/job/licensed-psychiatric-nurse-practitioner-at-h
medstaffnationwide.com                                  |     4 | MedStaff Nationwide | https://medstaffnationwide.com/jobs/psych-np-ip-ed-syracuse-ny-rq00001697?utm_ca
regalaunacancion.com.ar                                 |     4 | Get It Recruit - Healthcare | https://regalaunacancion.com.ar/jobs/job/psychiatric-mental-health-nurse-practit
higheredjobs.com                                        |     4 | Texas State University | https://www.higheredjobs.com/faculty/details.cfm?JobCode=179300989&utm_campaign=
wayup.com                                               |     4 | Ace Wellness Center | https://www.wayup.com/i-j-Certified-Psychiatric-Nurse-Practitioner-Ace-Wellness-
careervault.io                                          |     4 | Author Health | https://www.careervault.io/remote/author-health-26954/healthcare/psychiatric-men
summitconstr.com                                        |     3 | Eleanor Health | https://summitconstr.com/library/job/psychiatric-nurse-practitioner-pmhnp-psychi
enterprisemed.com                                       |     3 | Enterprise Medical Recruiting | https://www.enterprisemed.com/job/a0kqp00000dt31r2at-psychiatry-nurse-practition
traqueokids.org                                         |     3 | Integrity Placement Group | https://traqueokids.org/joblib/job/psychiatric-mental-health-nurse-practitioner-
goresearch.id                                           |     3 | Health Care Recruiting | https://goresearch.id/samples/job/a-pmhnp-c-is-sought-to-join-a-behavioral-healt
jobs.aspiremediagroup.net                               |     3 | LifeStance Health | https://jobs.aspiremediagroup.net/jobs/psychiatric-nurse-practitioner-pmhnp-outp
careeronestop.org                                       |     3 | OptiMindHealth | https://www.careeronestop.org/Toolkit/Jobs/find-jobs-details.aspx?keyword=Advanc
hospitaljobsonline.com                                  |     3 | Sterling Medical Corporation | https://www.hospitaljobsonline.com/job/84425357/mental-health-nurse-practitioner
tajprinting.co.uk                                       |     3 | Serenity Mental Health Centers | https://tajprinting.co.uk/work/job/psychiatric-nurse-practitioner-pmhnp-at-seren
tonyspeciale.com                                        |     3 | UPMC - Pittsburgh Medical Center | https://tonyspeciale.com/job-listing/job/psychiatric-mental-health-nurse-practit
app.directshifts.com                                    |     3 | DirectShifts | https://app.directshifts.com/jobs/p/seeking-pmhnps-with-consult-liaison-experien
marineresale.net                                        |     3 | Mindpath Health | https://marineresale.net/job-listing/job/outpatient-pmhnp-hybrid-model-at-mindpa
baptistjax.com                                          |     3 | Baptist Health | https://www.baptistjax.com/about-us/careers/job-listings/aprn-pa-behavioral-heal
talents.vaia.com                                        |     3 | Advantmed Careers | https://talents.vaia.com/companies/advantmed-careers/nurse-practitioner-clark-co
colegionutricionsf.org.ar                               |     3 | Medical On Demand | https://colegionutricionsf.org.ar/gig/job/psychiatric-mental-health-nurse-practi
accentucare.com                                         |     3 | LifeStance Health | https://accentucare.com/work/job/psychiatric-nurse-practitioner-pmhnp-at-lifesta
pickleballroadwarrior.com                               |     3 | Department of Veterans Affairs | http://pickleballroadwarrior.com/opportunity/job/nurse-practitioner-mental-healt
thelexingtonienne.com                                   |     3 | Child and Family Guidance Center | https://thelexingtonienne.com/career/job/contract-psychiatric-mental-health-nurs
hayeslocums.com                                         |     3 | Hayes Locums | https://www.hayeslocums.com/jobs/ohio-telehealth-psychiatric-nurse-practitioner-
nppajobsearch.com                                       |     3 | Jackson & Coker | https://www.nppajobsearch.com/home/job-detail/psychiatry---np/new-york/1837389?u
usajobs.gov                                             |     3 | Iowa City VA Health Care System | https://www.usajobs.gov/job/851811600?utm_campaign=google_jobs_apply&utm_source=
app.hellotriad.com                                      |     3 | Thriveworks | https://app.hellotriad.com/jobs/job/3522882/details?utm_campaign=google_jobs_app
pmhnpcareers.com                                        |     3 | Care New England Medical Group | https://pmhnpcareers.com/job/psychiatric-aprn-opportunity-at-premier-rhode-islan
entree3.com                                             |     3 | Headway | https://entree3.com/wp-job/job/licensed-psychiatric-nurse-practitioner-virtual-a
remotenursingjobs.com                                   |     3 | Array Behavioral Care | https://remotenursingjobs.com/job/100-remote-pmhnp-md/?utm_campaign=google_jobs_
swamisukhabodhananda.com                                |     3 | Wellpath | https://swamisukhabodhananda.com/job-library/job/psychiatric-nurse-practitioner-
jobs.edinburghcityfc.com                                |     3 | Harbor Point Behavioral Health Center, Inc. | https://jobs.edinburghcityfc.com/jobs/c-a-pmhnp-rtc-c-a-harbor-point-bhc-portsmo
wynnsgrainandspice.com                                  |     3 | Orange County, FL | https://wynnsgrainandspice.com/office/job/nurse-practitioner-psychiatric-correct
theboard.trueworkzone.com                               |     3 | Elev8 Recovery | https://theboard.trueworkzone.com/joblistings/x9n0enf5wzbc-598d3ecf7f-229bd-61e4
labroche-funeraire.fr                                   |     3 | UnitedHealth Group | https://labroche-funeraire.fr/job-listing/job/psychiatric-mental-health-nurse-pr
clps.edu.mx                                             |     3 | Mindful Behavioral Health PLLC | https://clps.edu.mx/work/job/psychiatric-nurse-practitioner-at-mindful-behaviora
gobeyondthebedside.com                                  |     3 | Talkiatry | https://gobeyondthebedside.com/job/staff-psychiatric-nurse-practitioner-maryland
windpowersports.com                                     |     3 | Family Services of Westchester | https://windpowersports.com/office/job/psychiatric-nurse-practitioner-at-family-
app.careerpuck.com                                      |     3 | Prenuvo | https://app.careerpuck.com/job-board/prenuvo/job/4653661005?gh_jid=4653661005
asahihoikuen.net                                        |     2 | Personalized Health Partners | https://asahihoikuen.net/job-library/job/psychiatric-mental-health-nurse-practit
main.hercjobs.org                                       |     2 | The Ohio State University | https://main.hercjobs.org/jobs/22019037/staff-nurse-2-np-adult-inpatient-psychia
careers.lgslegacycare.com                               |     2 | Legacy Care | https://careers.lgslegacycare.com/jobs/7068290-pmhnp-part-time-windsor-va?utm_ca
mahoneyalpineadventures.com                             |     2 | Serenity Healthcare | https://mahoneyalpineadventures.com/list/job/interventional-pmhnp-at-serenity-he
my.recruitmilitary.com                                  |     2 | Elliot, Southern New Hampshire Health, SolutionHealth | https://my.recruitmilitary.com/job/45930166/Nurse-Practitioner-Acute-Psychiatry-
piedmontcareers.org                                     |     2 | Piedmont Careers | https://piedmontcareers.org/job/nurse-practitioner-behavioral-health-piedmont-ma
jobright.ai                                             |     2 | Brave Health | https://jobright.ai/jobs/info/697d3a4d3f57a3356967091e?utm_campaign=google_jobs_
jobs.valleycentral.com                                  |     2 | Headway | https://jobs.valleycentral.com/jobs/psychiatric-nurse-practitioner-m-w-d-salt-la
riviamind.com                                           |     2 | RIVIA Mind | https://riviamind.com/contact-us/careers/?gh_jid=5041564007
recruiterflow.com                                       |     2 | Talent Doc | https://recruiterflow.com/talentdoc/jobs/6?utm_campaign=google_jobs_apply&utm_so
chuckgracer.com                                         |     2 | Mindpath Health | http://chuckgracer.com/opportunity/job/experienced-outpatient-psychiatric-mental
ca.bebee.com                                            |     2 | Fraser Health Authority | https://ca.bebee.com/job/4aea65ade269b2b523b9417d74ef9a66?utm_campaign=google_jo
librinuovi.net                                          |     2 | MedSource Consultants | https://librinuovi.net/office/job/up-to-195k-for-a-pmhnp-at-medsource-consultant
jobs.wtnh.com                                           |     2 | Headway | https://jobs.wtnh.com/jobs/psychiatric-nurse-practitioner-m-w-d-milwaukee-wiscon
healthjobsnationwide.com                                |     2 | TeamHealth | https://www.healthjobsnationwide.com/job/psychiatric-mental-health-nurse-practit
jobsource.aacap.org                                     |     2 | Atlantic Health | https://jobsource.aacap.org/jobs/22030388/nurse-practitioner-psychiatry-eating-d
jobs.ynhhs.org                                          |     2 | Yale New Haven Health | https://jobs.ynhhs.org/jobs/85108?lang=en-us&utm_campaign=google_jobs_apply&utm_
careers.liveandworkinmaine.com                          |     2 | Katahdin Valley Health Center | https://careers.liveandworkinmaine.com/job/dc4kwm/psychiatric-mental-health-nurs
jobs.fox4kc.com                                         |     2 | Headway - Design & Development | https://jobs.fox4kc.com/jobs/psychiatric-nurse-practitioner-independent-contract
remote.co                                               |     2 | Blackbird Health | https://remote.co/job-details/psychiatric-nurse-practitioner-residency-program-d
remoterole.page.gd                                      |     2 | Topsiksha | https://remoterole.page.gd/job/100-virtual-part-time-overnight-pmhnp-bc-2/?utm_c
i4searchgroup.com                                       |     2 | i4 Search Group | https://i4searchgroup.com/job/3501455-psychiatric-nurse-practitioner-gaithersbur
adenterprises.ca                                        |     2 | OnSite Healthcare and Wellness, LLC | https://adenterprises.ca/list/job/psychiatric-mental-health-nurse-practitioner-p
incrediblehealth.com                                    |     2 | Incredible Health | https://www.incrediblehealth.com/jobs/nurse/3StBVmabABJEkZTGS7GJo7ob/a-psychiatr
stmgaard.dk                                             |     2 | Work with Willow | https://stmgaard.dk/wp-job/job/psychiatric-nurse-practitioner-pmhnp-at-work-with
jobs.wbtw.com                                           |     2 | Headway | https://jobs.wbtw.com/jobs/psychiatric-nurse-practitioner-m-w-d-kearney-nebraska
smitharnold.com                                         |     2 | Smith Arnold Partners | https://smitharnold.com/job/psychiatric-nurse-practitioner-hybrid-bronx-ny/?utm_
fullyevent.com                                          |     2 | The MedElite Group | https://fullyevent.com/office/job/psychiatric-nurse-practitioner-at-the-medelite
blackflymedia.com                                       |     2 | UnitedHealth Group | https://blackflymedia.com/workspread/job/psychiatric-nurse-at-unitedhealth-group
dieudonnefoundation.org                                 |     2 | Fcs Co | https://dieudonnefoundation.org/work/job/ma568d-psychiatric-nurse-practitioner-a
theretrieveracademy.com                                 |     2 | Headway | https://theretrieveracademy.com/opportunity/job/remote-licensed-psychiatric-nurs
jobs.ghrhealthcare.com                                  |     2 | GHR Healthcare | https://jobs.ghrhealthcare.com/jobs/psych-np-worcester-ma-455087?utm_campaign=go
workonward.com                                          |     2 | Symphony Medical | https://www.workonward.com/job-search/detail/125c18d3-6430-4dbd-a12b-e78e4fbce80
usnlx.com                                               |     2 | UnityPoint Health | https://usnlx.com/des-moines-ia/nurse-practitioner-behavorial-health/9C3178F7163
vacancies.cu-fc.com                                     |     2 | LifeStance Health | https://vacancies.cu-fc.com/jobs/psychiatric-nurse-practitioner-pmhnp-acton-ca-a
healthcarejobfinder.com                                 |     2 | H3O Wellness | https://www.healthcarejobfinder.com/job/nurse-practitioner-np-/psychiatry/idaho/
arthdhara.com                                           |     2 | Certus Psychiatry and Integrated Care | https://arthdhara.com/library/job/part-time-pmhnp-nurse-practitioner-at-certus-p
agronigeria.ng                                          |     2 | Cordial Health | https://agronigeria.ng/career/job/psychiatric-nurse-practitioner-tenton-nj-at-co
jobs.lilylifestyle.co.uk                                |     2 | LifeStance Health | https://jobs.lilylifestyle.co.uk/jobs/pmhnp-nurse-practitioner-joliet-il-joliet-
headlightny.com                                         |     2 | Medical Search International | https://headlightny.com/library/job/psychiatric-mental-health-nurse-practitioner
virtuacareers.com                                       |     2 | Virtua | https://www.virtuacareers.com/job/mount-holly/psychiatric-mental-health-nurse-pr
careers.christushealth.org                              |     2 | CHRISTUS Health System | https://careers.christushealth.org/opportunity/nurse-practitioner-psychiatry-320
scalppl.com                                             |     2 | Ozark Center | https://www.scalppl.com/clinician-job-openings/psychiatry-full-time-job-in-jopli
host.pcrecruiter.net                                    |     2 | MedLeaders Group | https://host.pcrecruiter.net/pcrbin/jobboard/job/Psychiatric-Nurse-Practitioner-
idf-assainissement.com                                  |     2 | Med Source Consultants | https://idf-assainissement.com/jobs/job/psychiatric-nurse-practitioner-3667-at-m
providercareers.lifepointhealth.net                     |     2 | Lifepoint Careers | https://providercareers.lifepointhealth.net/job/mental-health-advanced-practice-
jobbio.upskillist.com                                   |     2 | Horizon Health | https://jobbio.upskillist.com/job/nurse-practitioner-behavioral-health-1099-empl
jobs.weekday.works                                      |     2 | Affect Therapeutics | https://jobs.weekday.works/affect-therapeutics-massachusetts%7C-psychiatric-ment
thebizdeal.com                                          |     2 | Family Care Center | https://thebizdeal.com/career/job/psychiatric-mental-health-nurse-practitioner-a
musc.career-pages.com                                   |     2 | MUSC | https://musc.career-pages.com/jobs/univ-psychiatric-mental-health-nurse-practiti
irishpubconcept.com                                     |     2 | woodside health and wellness | https://irishpubconcept.com/samples/job/psychiatric-nurse-practitioner-pmhnp-roc
jobs.trinity-health.org                                 |     2 | Trinity Health | https://jobs.trinity-health.org/job/TRHEUS00601764MERCYONEENUS/NP-PA-Inpatient-P
careers.internationalsos.com                            |     2 | International SOS | https://careers.internationalsos.com/job/Gregory-Nurse-Practitioner-%28PRN%29-TX
totalpneuspe.com.br                                     |     2 | UltaCare Medical | https://totalpneuspe.com.br/office/job/psychiatric-mental-health-nurse-practitio
unmhjobs.com                                            |     2 | UNM Hospital | https://www.unmhjobs.com/job/albuquerque/aprn-psych-psychiatry/7687/91110412720?
lucaciuti.com                                           |     2 | SSStaffing | https://lucaciuti.com/jobs/job/psychiatric-np-at-ssstaffing-oceanside-ca-VmdOeDB
nurturedmumma.com                                       |     2 | Sunbelt Staffing | https://nurturedmumma.com/opportunity/job/hybrid-psychiatric-mental-health-nurse
readinginspanglish.com                                  |     2 | Headway | http://readinginspanglish.com/opportunity/job/licensed-psychiatric-np-at-headway
diza.com.mx                                             |     2 | Life.Church | https://www.diza.com.mx/vacancy/job/psychiatric-mental-health-nurse-practitioner
atmashaktitrust.org                                     |     2 | LifeStance Health | https://www.atmashaktitrust.org/gig/job/psychiatric-nurse-practitioner-pmhnp-at-
meritedu.co.uk                                          |     2 | LifeStance Health | https://meritedu.co.uk/job-library/job/psychiatric-nurse-practitioner-pmhnp-nede
alhindiya.com                                           |     2 | All Points North | https://alhindiya.com/apply/job/psychiatric-nurse-practitioner-prn-at-all-points
dadoralive.com                                          |     2 | Seasoned Recruitment | https://dadoralive.com/list/job/remote-psychiatric-np-job-at-seasoned-recruitmen
jobs2careers.com                                        |     2 | Cambridge Medical Professionals | https://www.jobs2careers.com/r/job/34947861980?c1=108&utm_campaign=google_jobs_a
milwaukeejobs.com                                       |     2 | Virtua | https://www.milwaukeejobs.com/j/t-Psychiatric-Mental-Health-Nurse-Practitioner-P
onemedical.com                                          |     2 | One Medical | http://www.onemedical.com/careers/all-departments/7535878?gh_jid=7535878
